Open;High;Low;Close;Volume;NextClose
143.780;143.910;143.670;143.860;7155;143.910
143.860;143.980;143.780;143.910;5913;143.860
143.920;143.920;143.780;143.860;3052;143.920
143.870;144.130;143.870;143.920;7084;143.930
143.910;144.070;143.840;143.930;6191;143.110
143.930;144.100;143.090;143.110;12165;142.910
143.100;143.160;142.630;142.910;15210;142.900
142.910;142.970;142.530;142.900;11160;142.870
142.900;143.040;142.820;142.870;5177;142.170
142.860;142.880;141.910;142.170;10630;142.050
142.160;142.260;141.710;142.050;9698;141.770
142.040;142.170;141.690;141.770;13149;141.330
141.770;141.770;141.180;141.330;14474;141.030
141.320;141.320;140.810;141.030;12067;141.060
141.030;141.110;140.950;141.060;4924;140.800
141.060;141.340;140.750;140.800;8536;141.130
140.800;141.150;140.740;141.130;7373;140.390
141.130;141.170;140.280;140.390;13202;140.940
140.380;141.050;140.340;140.940;14005;141.160
140.960;141.410;140.320;141.160;16353;140.840
141.160;141.160;140.780;140.840;6764;141.320
140.840;141.370;140.670;141.320;9343;141.190
141.320;141.400;141.120;141.190;7100;141.410
141.190;141.640;141.160;141.410;11911;141.150
141.420;141.450;141.010;141.150;14395;141.480
141.140;141.800;140.940;141.480;14096;141.360
141.490;141.550;141.240;141.360;5858;141.640
141.500;141.720;141.330;141.640;6273;141.600
141.650;141.700;141.530;141.600;5235;141.890
141.590;141.910;141.300;141.890;10542;141.530
141.900;141.930;141.320;141.530;10694;141.440
141.520;141.560;141.280;141.440;9688;141.470
141.430;141.610;141.390;141.470;4816;141.390
141.470;141.770;141.350;141.390;5699;140.890
141.390;141.470;140.710;140.890;10770;140.980
140.890;141.090;140.740;140.980;12410;140.540
140.980;141.020;140.520;140.540;12756;140.950
140.530;141.040;140.420;140.950;12345;140.770
140.960;140.990;140.690;140.770;5523;140.770
140.770;140.960;140.630;140.770;7823;140.640
140.760;140.850;140.530;140.640;6637;140.580
140.630;140.800;140.210;140.580;12243;140.480
140.580;140.860;140.320;140.480;12483;140.380
140.480;140.580;140.250;140.380;12543;140.340
140.370;140.510;139.930;140.340;10027;140.070
140.330;140.380;139.290;140.070;9611;140.130
140.060;140.220;139.990;140.130;7291;139.990
140.140;140.510;139.960;139.990;11376;139.720
139.980;140.260;139.660;139.720;12356;139.750
139.720;139.850;139.470;139.750;13214;139.600
139.750;139.850;139.570;139.600;6456;139.380
139.610;139.660;139.120;139.380;8980;139.490
139.380;139.610;139.210;139.490;6983;139.620
139.500;139.860;139.340;139.620;11353;139.150
139.630;139.770;139.090;139.150;12266;138.800
139.140;139.280;138.620;138.800;14179;138.610
138.800;138.840;138.610;138.610;4636;138.630
